,0,1,2
399,76,95,99
400,76,95,97
401,81,100,102
402,83,100,103
403,81,98,101
404,77,93,101
405,77,93,101
406,80,94,100
407,83,97,103
408,85,97,101
409,83,95,99
410,84,94,99
411,87,97,102
412,92,97,102
413,91,96,101
414,90,97,103
415,89,96,102
416,82,99,102
417,82,99,102
418,81,98,101
419,79,96,99
420,81,95,97
421,80,94,96
422,79,93,95
423,79,93,95
424,80,94,96
425,80,94,96
426,75,92,95
427,74,91,94
428,73,95,96
429,75,97,98
430,75,97,98
431,74,96,97
432,78,95,98
433,79,96,99
434,80,94,98
435,79,93,97
436,77,94,97
437,78,95,98
438,80,94,98
439,81,95,99
440,81,95,97
441,81,95,97
442,83,95,97
443,83,95,97
444,82,94,96
445,83,95,97
446,85,97,101
447,83,95,99
448,82,94,98
449,82,94,98
450,83,95,99
451,83,95,99
452,83,95,99
453,83,95,99
454,86,96,101
455,86,96,101
456,83,94,103
457,83,94,103
458,81,95,101
459,81,95,101
460,86,96,101
461,86,96,101
462,85,97,101
463,83,95,99
464,81,98,103
465,79,96,101
466,76,95,97
467,77,96,98
468,80,99,99
469,80,99,99
470,79,96,97
471,79,96,97
472,83,97,99
473,83,97,99
474,83,97,99
475,83,97,99
476,81,95,97
477,83,97,99
478,86,98,102
479,85,97,101
480,86,98,102
481,87,99,103
482,81,97,105
483,79,95,103
484,83,96,105
485,84,97,106
486,86,97,106
487,87,98,107
488,87,99,105
489,86,98,104
490,84,98,102
491,84,98,102
492,82,99,104
493,82,99,104
494,83,100,105
495,83,100,105
496,86,100,106
497,85,99,105
498,86,98,104
499,88,100,106
500,89,101,107
501,88,100,106
502,87,99,105
503,89,101,107
504,84,101,106
505,83,100,105
506,81,99,106
507,82,100,107
508,82,101,105
509,82,101,105
510,83,101,108
511,83,101,108
512,82,100,107
513,82,100,107
514,84,101,106
515,84,101,106
516,86,100,106
517,85,99,105
518,86,100,106
519,88,102,108
520,90,103,112
521,86,99,108
522,84,100,110
523,85,101,111
524,85,101,111
525,85,101,111
526,83,101,108
527,84,102,109
528,85,104,108
529,88,107,111
530,88,105,110
531,86,103,108
532,87,106,110
533,84,103,107
534,81,102,108
535,83,104,110
536,85,103,110
537,84,102,109
538,85,103,110
539,85,103,110
540,88,105,110
541,88,105,110
542,88,105,110
543,89,106,111
544,90,104,110
545,90,104,110
546,90,104,110
547,90,104,110
548,85,103,110
549,85,103,110
550,85,103,110
551,84,102,109
552,86,103,108
553,89,106,111
554,90,104,108
555,90,104,108
556,91,105,111
557,92,106,112
558,86,107,113
559,85,106,112
560,85,106,112
561,85,106,112
562,85,106,112
563,85,106,112
564,86,107,113
565,85,106,112
566,83,104,110
567,83,104,110
568,85,103,110
569,87,105,112
570,90,106,114
571,89,105,113
572,87,105,114
573,88,106,115
574,87,108,114
575,86,107,113
576,86,107,113
577,86,107,113
578,87,108,114
579,86,107,113
580,86,107,113
581,87,108,114
582,91,108,113
583,89,106,111
584,88,105,110
585,90,107,112
586,91,104,113
587,91,104,113
588,87,105,112
589,87,105,112
590,84,107,112
591,85,108,113
592,87,108,114
593,87,108,114
594,88,106,113
595,87,105,112
596,87,105,112
597,89,107,114
598,91,108,113
599,90,107,112
600,90,107,112
601,92,109,114
602,95,109,113
603,94,108,112
604,92,106,112
605,92,106,112
606,91,107,115
607,92,108,116
608,92,108,116
609,91,107,115
610,90,106,114
611,91,107,115
612,94,108,114
613,93,107,113
614,93,107,111
615,94,108,112
616,94,108,114
617,95,109,115
618,95,109,115
619,93,107,113
620,90,109,111
621,92,111,113
622,95,112,117
623,95,112,117
624,99,110,119
625,97,108,117
626,97,108,119
627,97,108,119
628,93,109,117
629,95,111,119
630,95,111,119
